Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_points_5,away_points_5,home_weighted,away_weighted,home_diff_5,away_diff_5,home_home_points,away_away_points,elo_home,elo_away,rest_home,rest_away
E0,2015-01-11,Everton,Sunderland,6,2,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2015-01-11,Southampton,Bournemouth,2,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2015-02-11,Tottenham,Aston Villa,3,1,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2015-03-10,Chelsea,Southampton,1,3,A,0,3,0,15,0,2,0,0,1500.0,1510.0,0,58
E0,2015-03-10,Bournemouth,Watford,1,1,D,0,0,0,0,-2,0,0,0,1490.28774368332,1500.0,58,0
E0,2015-03-10,Aston Villa,Stoke,0,1,A,0,0,0,0,-2,0,0,0,1490.28774368332,1500.0,27,0
E0,2015-03-10,Norwich,Leicester,1,2,A,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2015-03-10,Sunderland,West Ham,2,2,D,0,0,0,0,-4,0,0,0,1490.28774368332,1500.0,58,0
E0,2015-03-10,Crystal Palace,West Brom,2,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2015-03-10,Man City,Newcastle,6,1,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2015-04-10,Swansea,Tottenham,2,2,D,0,3,0,15,0,2,0,0,1500.0,1510.0,0,58
E0,2015-04-10,Everton,Liverpool,1,1,D,3,0,15,0,4,0,3,0,1510.0,1500.0,89,0
E0,2015-04-10,Arsenal,Man United,3,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2015-05-12,Man United,West Ham,0,0,D,0,1,0,5,-3,0,0,1,1490.28774368332,1499.7285692279888,32,63
E0,2015-05-12,Southampton,Aston Villa,1,1,D,6,0,27,0,4,-3,3,0,1519.43324365913,1480.56721209952,63,63
E0,2015-05-12,Stoke,Man City,2,0,H,3,3,15,15,1,5,0,0,1509.4412619330124,1510.0,63,63
E0,2015-05-12,Swansea,Leicester,0,3,A,1,3,5,15,0,1,1,3,1500.28774368332,1509.71225631668,32,63
E0,2015-05-12,Watford,Norwich,2,0,H,1,0,5,0,0,-1,0,0,1499.7285692279888,1490.0,63,63
E0,2015-05-12,West Brom,Tottenham,1,1,D,0,4,0,17,-2,2,0,1,1490.28774368332,1509.7205315838,63,32
