Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_points_5,away_points_5,home_weighted,away_weighted,home_diff_5,away_diff_5,home_home_points,away_away_points,elo_home,elo_away,rest_home,rest_away
E0,2003-08-16,Arsenal,Everton,2,1,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-16,Birmingham,Tottenham,1,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-16,Blackburn,Wolves,5,1,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-16,Fulham,Middlesbrough,3,2,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-16,Leicester,Southampton,2,2,D,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-16,Man United,Bolton,4,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-16,Portsmouth,Aston Villa,2,1,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-17,Charlton,Man City,0,3,A,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-17,Leeds,Newcastle,2,2,D,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-17,Liverpool,Chelsea,1,2,A,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2003-08-23,Wolves,Charlton,0,4,A,0,0,0,0,-4,-3,0,0,1490.28774368332,1490.0,7,6
E0,2003-08-23,Tottenham,Leeds,2,1,H,0,1,0,5,-1,0,0,0,1490.28774368332,1500.0,7,6
E0,2003-08-23,Southampton,Birmingham,0,0,D,1,3,5,15,0,1,0,0,1500.0,1510.0,7,7
E0,2003-08-23,Newcastle,Man United,1,2,A,1,3,5,15,0,4,0,0,1500.0,1510.0,6,7
E0,2003-08-23,Chelsea,Leicester,2,1,H,3,1,15,5,1,0,0,0,1509.71225631668,1500.0,6,7
E0,2003-08-23,Everton,Fulham,3,1,H,0,3,0,15,-1,1,0,0,1490.28774368332,1510.0,7,7
E0,2003-08-23,Bolton,Blackburn,2,2,D,0,3,0,15,-4,4,0,0,1490.28774368332,1510.0,7,7
E0,2003-08-23,Man City,Portsmouth,1,1,D,3,3,15,15,3,1,0,0,1509.71225631668,1510.0,6,7
E0,2003-08-24,Aston Villa,Liverpool,0,0,D,0,0,0,0,-1,-1,0,0,1490.28774368332,1490.0,8,7
E0,2003-08-24,Middlesbrough,Arsenal,0,4,A,0,3,0,15,-1,1,0,0,1490.28774368332,1510.0,8,8
E0,2003-08-25,Blackburn,Man City,2,3,A,4,4,17,17,4,3,3,3,1509.44950530889,1509.7205382437342,2,2
E0,2003-08-26,Portsmouth,Bolton,4,0,H,4,1,17,5,1,-4,3,0,1509.9919564458091,1490.85450002419,3,3
E0,2003-08-26,Leicester,Middlesbrough,0,0,D,1,0,4,0,-1,-5,1,0,1490.5587380669876,1480.85450002419,3,2
E0,2003-08-26,Leeds,Southampton,0,0,D,1,2,4,9,-1,0,1,1,1490.0163256620574,1500.28774368332,3,3
E0,2003-08-26,Charlton,Everton,2,2,D,3,3,15,15,1,1,0,0,1499.720293397112,1500.85450002419,3,3
E0,2003-08-27,Arsenal,Aston Villa,2,0,H,6,1,27,5,5,-1,3,0,1519.1630873067425,1490.2794617562658,3,3
E0,2003-08-27,Liverpool,Tottenham,0,0,D,1,3,5,15,-1,0,0,0,1490.0080435541909,1500.56721209952,3,4
E0,2003-08-27,Man United,Wolves,1,0,H,6,0,27,0,5,-8,3,0,1519.43324365913,1480.2794617562658,4,4
E0,2003-08-30,Wolves,Portsmouth,0,0,D,0,7,0,28,-9,5,0,1,1471.6531817367686,1519.4416925655084,3,4
E0,2003-08-30,Newcastle,Birmingham,0,1,A,1,4,4,17,-1,1,0,1,1490.28774368332,1509.7205315838,7,7
E0,2003-08-30,Middlesbrough,Leeds,2,3,A,1,2,5,8,-5,-1,0,0,1481.125706814058,1490.3118747388676,4,4
E0,2003-08-30,Tottenham,Fulham,0,3,A,4,3,17,12,0,-1,3,0,1500.2721252442707,1499.7368321306994,3,7
E0,2003-08-30,Chelsea,Blackburn,2,2,D,6,4,27,13,2,3,3,1,1519.43278790048,1499.457306262251,7,5
E0,2003-08-30,Bolton,Charlton,0,0,D,1,4,4,17,-8,1,1,3,1481.6754537588256,1499.7529383720446,4,4
E0,2003-08-30,Aston Villa,Leicester,3,1,H,1,2,4,8,-3,-1,1,0,1481.3703906382311,1490.2795002551616,3,4
E0,2003-08-30,Everton,Liverpool,0,3,A,4,2,17,9,1,-1,3,1,1500.8227946374375,1490.3118673180281,4,3
E0,2003-08-31,Man City,Arsenal,1,2,A,7,9,28,36,4,7,1,3,1519.425224574446,1528.333659642746,6,4
E0,2003-08-31,Southampton,Man United,1,0,H,3,9,12,36,0,6,1,3,1500.000693973935,1528.311053760595,5,4
E0,2003-09-13,Everton,Newcastle,2,2,D,4,1,13,3,-2,-2,3,1,1490.5203580918358,1480.8464817503077,14,14
E0,2003-09-13,Arsenal,Portsmouth,1,1,D,12,8,42,26,8,5,6,2,1537.7973246114743,1518.1134644612407,13,14
E0,2003-09-13,Blackburn,Liverpool,1,3,A,5,5,14,22,3,2,3,4,1500.0151372362095,1500.3178681641552,14,14
E0,2003-09-13,Bolton,Middlesbrough,2,0,H,2,1,8,4,-8,-6,2,1,1482.1952965620612,1471.3900443867449,14,14
E0,2003-09-13,Charlton,Man United,0,2,A,5,9,18,27,1,5,1,3,1499.2480185634622,1517.807865720431,14,13
E0,2003-09-13,Chelsea,Tottenham,4,2,H,7,4,26,13,2,-3,4,1,1518.8584799873704,1490.2567182821654,14,14
E0,2003-09-13,Southampton,Wolves,2,0,H,6,1,24,5,1,-9,4,0,1510.8137330061206,1473.0200366501927,13,14
E0,2003-09-14,Man City,Aston Villa,4,1,H,7,4,21,18,3,-1,1,0,1509.6815737714567,1491.6267592375525,14,15
E0,2003-09-14,Birmingham,Fulham,2,2,D,7,6,28,24,2,2,3,3,1518.8913776356505,1509.4640402170076,15,15
E0,2003-09-15,Leicester,Leeds,4,0,H,2,5,6,21,-3,0,2,3,1480.3182772914174,1499.767798494424,16,16
E0,2003-09-20,Wolves,Chelsea,0,5,A,1,10,4,34,-11,4,1,3,1464.3564216445395,1528.0371097460904,7,7
E0,2003-09-20,Aston Villa,Charlton,2,1,H,4,5,14,13,-4,-1,4,4,1482.4176429590784,1489.7817063502923,6,7
E0,2003-09-20,Fulham,Man City,2,2,D,7,10,23,29,2,6,3,6,1509.7275119155308,1519.162381704475,6,6
E0,2003-09-20,Leeds,Birmingham,0,2,A,5,8,16,26,-4,2,2,4,1489.511970837523,1518.620103625605,5,6
E0,2003-09-20,Liverpool,Leicester,2,1,H,8,5,32,19,4,1,1,0,1510.0216691876435,1490.8774954767039,7,5
E0,2003-09-20,Newcastle,Bolton,0,0,D,2,5,7,21,-2,-6,0,0,1481.116840415234,1491.8843966335617,7,7
E0,2003-09-20,Portsmouth,Blackburn,1,2,A,9,5,23,9,5,1,6,2,1518.6631676958125,1490.0238505305279,7,7
E0,2003-09-20,Tottenham,Southampton,1,3,A,4,9,9,33,-5,3,3,2,1481.3398595050978,1519.7302133318813,7,7
E0,2003-09-21,Man United,Arsenal,0,0,D,12,13,33,35,7,8,6,6,1527.0029531003247,1537.2313829564503,8,8
E0,2003-09-21,Middlesbrough,Everton,1,0,H,1,5,3,14,-8,-2,0,1,1461.979236051106,1490.2419934807506,8,8
E0,2003-09-26,Arsenal,Newcastle,3,2,H,11,3,27,10,7,-2,7,2,1536.945533978522,1481.426656411949,5,6
E0,2003-09-27,Birmingham,Portsmouth,2,0,H,11,6,33,14,4,3,4,3,1527.5229727345206,1507.8407238235418,7,7
E0,2003-09-27,Bolton,Wolves,1,1,D,6,1,21,3,-2,-12,5,0,1491.583489542527,1456.169046483657,7,7
E0,2003-09-27,Chelsea,Aston Villa,1,0,H,13,7,39,25,9,-2,7,0,1535.9975870846254,1492.6295660070286,7,7
E0,2003-09-27,Leicester,Man United,1,4,A,4,10,14,26,0,3,5,6,1481.6986357366407,1527.2972659545392,7,6
E0,2003-09-27,Southampton,Middlesbrough,0,1,A,11,4,39,17,5,-6,7,1,1528.3774451907257,1472.7909140190131,7,6
E0,2003-09-28,Everton,Leeds,4,0,H,5,4,9,11,-2,-6,4,3,1479.7401330109667,1480.3478155402004,7,8
E0,2003-09-28,Man City,Tottenham,0,0,D,8,4,24,5,3,-6,4,1,1518.898699588574,1472.4403475720226,8,8
E0,2003-09-28,Blackburn,Fulham,0,2,A,5,8,19,21,-2,2,3,4,1500.5362123171283,1509.999002564952,8,8
E0,2003-09-28,Charlton,Liverpool,3,2,H,5,11,8,39,1,6,1,7,1479.8636725045067,1519.471212553832,8,8
E0,2003-10-04,Wolves,Man City,1,0,H,2,8,7,21,-8,3,1,7,1457.1558967811466,1517.5694339335203,7,6
E0,2003-10-04,Tottenham,Everton,3,0,H,2,5,6,19,-7,0,3,1,1473.7320109685547,1489.7576235022948,6,6
E0,2003-10-04,Portsmouth,Charlton,1,2,A,5,5,8,18,1,-2,6,4,1498.6768034833156,1490.998756246739,7,6
E0,2003-10-04,Newcastle,Southampton,1,0,H,2,10,7,28,-3,4,1,5,1473.2463422323015,1516.7910488812634,8,7
E0,2003-10-04,Leeds,Blackburn,2,1,H,4,4,7,14,-9,-4,2,5,1470.6185853825273,1490.8085059878786,6,6
E0,2003-10-04,Liverpool,Arsenal,1,2,A,10,11,28,31,5,4,4,7,1508.6535390254408,1545.3610359499999,6,8
E0,2003-10-04,Fulham,Leicester,2,0,H,8,4,28,10,3,-2,4,0,1519.4472167015106,1473.0035858881376,6,7
E0,2003-10-04,Man United,Birmingham,3,0,H,10,11,31,37,5,5,7,7,1535.7471656717403,1536.9570773061673,7,7
E0,2003-10-05,Aston Villa,Bolton,1,1,D,6,6,18,20,-3,-2,7,1,1484.1187229442987,1490.5676955063682,8,8
E0,2003-10-05,Middlesbrough,Chelsea,1,2,A,7,13,28,41,-1,9,3,6,1484.0506124011372,1544.7557977795982,8,8
E0,2003-10-14,Birmingham,Chelsea,0,0,D,10,13,26,43,2,9,7,9,1527.211024089129,1552.7962001199646,10,9
E0,2003-10-18,Portsmouth,Liverpool,1,0,H,2,9,3,18,-4,4,6,7,1488.455847488023,1499.7061520343611,14,14
E0,2003-10-18,Middlesbrough,Newcastle,0,1,A,6,5,21,20,-2,-1,3,2,1475.7802824958496,1484.4931382210207,13,14
E0,2003-10-18,Man City,Bolton,6,2,H,5,7,13,19,1,2,5,2,1506.177069154259,1490.3874405363883,14,13
E0,2003-10-18,Leeds,Man United,0,1,A,6,10,18,36,-8,7,5,9,1481.199044769175,1545.7819895871346,14,14
E0,2003-10-18,Arsenal,Chelsea,2,1,H,11,13,35,35,3,9,10,10,1554.0544942923384,1552.0821738142552,14,4
E0,2003-10-18,Fulham,Wolves,0,0,D,11,5,35,20,7,-6,7,1,1528.1183672723514,1468.8774225220554,14,14
E0,2003-10-19,Birmingham,Aston Villa,0,0,D,8,7,21,17,1,-1,8,0,1527.946096399988,1484.3043179812516,5,14
E0,2003-10-19,Everton,Southampton,0,0,D,4,9,14,18,-3,3,7,5,1479.5974726825734,1505.8641088680865,15,15
E0,2003-10-19,Leicester,Tottenham,1,2,A,3,4,6,19,-4,-4,5,2,1464.5767430160856,1484.1929383387983,15,15
E0,2003-10-20,Blackburn,Charlton,0,1,A,4,7,10,28,-4,-1,3,7,1480.531993965984,1500.9255667561204,16,16
E0,2003-10-21,Fulham,Newcastle,2,3,A,9,8,29,30,4,1,8,5,1526.4296101384775,1493.9622549300732,3,3
E0,2003-10-25,Newcastle,Portsmouth,3,0,H,10,4,37,16,2,-3,4,3,1504.5813061491078,1498.7795441551932,4,7
E0,2003-10-25,Wolves,Leicester,4,3,H,5,3,20,3,-6,-3,4,0,1470.5189211031825,1455.1407433372551,7,6
E0,2003-10-25,Man United,Fulham,1,3,A,13,8,41,20,9,3,10,7,1553.718283108784,1515.497835242225,7,4
E0,2003-10-25,Southampton,Blackburn,2,0,H,7,3,14,6,2,-5,7,5,1505.1311297045445,1471.1182949846602,6,5
E0,2003-10-25,Chelsea,Man City,1,0,H,10,8,22,23,6,6,10,7,1542.424996603797,1515.7229197280308,7,7
E0,2003-10-25,Aston Villa,Everton,0,0,D,5,5,15,15,-3,0,8,1,1485.5184453338136,1480.3520501755584,6,6
