Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_points_5,away_points_5,home_weighted,away_weighted,home_diff_5,away_diff_5,home_home_points,away_away_points,elo_home,elo_away,rest_home,rest_away
E0,2012-08-18,Arsenal,Sunderland,0,0,D,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-18,Fulham,Norwich,5,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-18,Newcastle,Tottenham,2,1,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-18,QPR,Swansea,0,5,A,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-18,Reading,Stoke,1,1,D,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-18,West Brom,Liverpool,3,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-18,West Ham,Aston Villa,1,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-19,Man City,Southampton,3,2,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-19,Wigan,Chelsea,0,2,A,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-20,Everton,Man United,1,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,2012-08-22,Chelsea,Reading,4,2,H,3,1,15,5,2,0,0,0,1509.71225631668,1500.0,3,4
E0,2012-08-25,Aston Villa,Everton,1,3,A,0,3,0,15,-1,1,0,0,1490.28774368332,1510.0,7,5
E0,2012-08-25,Chelsea,Newcastle,2,0,H,6,3,27,15,4,1,3,0,1519.43278790048,1510.0,3,7
E0,2012-08-25,Man United,Fulham,3,2,H,0,3,0,15,-1,5,0,0,1490.28774368332,1510.0,5,7
E0,2012-08-25,Norwich,QPR,1,1,D,0,0,0,0,-5,-5,0,0,1490.28774368332,1490.0,7,7
E0,2012-08-25,Southampton,Wigan,0,2,A,0,0,0,0,-1,-2,0,0,1490.28774368332,1490.0,6,6
E0,2012-08-25,Swansea,West Ham,3,0,H,3,3,15,15,5,1,0,0,1509.71225631668,1510.0,7,7
E0,2012-08-25,Tottenham,West Brom,1,1,D,0,3,0,15,-1,3,0,0,1490.28774368332,1510.0,7,7
E0,2012-08-26,Liverpool,Man City,2,2,D,0,3,0,15,-3,1,0,0,1490.28774368332,1510.0,8,7
E0,2012-08-26,Stoke,Arsenal,0,0,D,1,1,5,5,0,0,0,0,1500.0,1500.0,8,8
E0,2012-09-01,Wigan,Stoke,2,2,D,3,2,15,9,0,0,0,1,1499.720293397112,1500.0,7,6
E0,2012-09-01,West Ham,Fulham,3,0,H,3,3,12,12,-2,4,3,0,1500.279706602888,1499.7368321306994,7,7
E0,2012-09-01,West Brom,Everton,2,0,H,4,6,17,27,3,3,3,3,1509.44950530889,1519.1630873067425,7,7
E0,2012-09-01,Swansea,Sunderland,2,2,D,6,1,27,5,8,0,3,1,1519.7205382437342,1500.0,7,14
E0,2012-09-01,Man City,QPR,3,1,H,4,1,17,5,1,-5,3,1,1509.44950530889,1490.0080435541909,6,7
E0,2012-09-01,Tottenham,Norwich,1,1,D,1,1,5,5,-1,-5,1,0,1490.85450002419,1490.2794617562658,7,7
E0,2012-09-02,Liverpool,Arsenal,0,2,A,1,2,5,9,-3,0,1,1,1490.85450002419,1500.0,7,7
E0,2012-09-02,Newcastle,Aston Villa,1,1,D,3,0,12,0,-1,-3,3,0,1500.5509497123967,1480.85450002419,8,8
E0,2012-09-02,Southampton,Man United,2,3,A,0,3,0,15,-3,0,0,0,1480.2794617562658,1500.85450002419,8,8
E0,2012-09-15,QPR,Chelsea,0,0,D,1,9,4,36,-7,6,0,3,1480.837438325171,1529.1613571284688,14,21
E0,2012-09-15,Sunderland,Liverpool,1,1,D,2,1,9,4,0,-5,0,0,1500.550725523307,1481.1176678934905,14,13
E0,2012-09-15,Stoke,Man City,1,1,D,3,7,12,28,0,3,1,1,1499.9921811133513,1518.8905183680458,14,14
E0,2012-09-15,Norwich,West Ham,0,0,D,2,6,9,24,-5,1,1,0,1490.2955363005408,1510.2640814322663,14,14
