Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,home_points_5,away_points_5,home_weighted,away_weighted,home_diff_5,away_diff_5,home_home_points,away_away_points,elo_home,elo_away,rest_home,rest_away
E0,1995-08-19,Aston Villa,Man United,3,1,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-19,Blackburn,QPR,1,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-19,Chelsea,Everton,0,0,D,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-19,Liverpool,Sheffield Weds,1,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-19,Man City,Tottenham,1,1,D,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-19,Newcastle,Coventry,3,0,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-19,Southampton,Nott'm Forest,3,4,A,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-19,West Ham,Leeds,1,2,A,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-19,Wimbledon,Bolton,3,2,H,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-20,Arsenal,Middlesbrough,1,1,D,0,0,0,0,0,0,0,0,1500.0,1500.0,0,0
E0,1995-08-21,Leeds,Liverpool,1,0,H,3,3,15,15,1,1,0,0,1509.71225631668,1510.0,2,2
E0,1995-08-22,Bolton,Newcastle,1,3,A,0,3,0,15,-1,3,0,0,1490.28774368332,1510.0,3,3
E0,1995-08-23,Coventry,Man City,2,1,H,0,1,0,5,-3,0,0,0,1490.28774368332,1500.0,4,4
E0,1995-08-23,Everton,Arsenal,0,2,A,1,1,5,5,0,0,0,0,1500.0,1500.0,4,3
E0,1995-08-23,Man United,West Ham,2,1,H,0,0,0,0,-2,-1,0,0,1490.28774368332,1490.0,4,4
E0,1995-08-23,Nott'm Forest,Chelsea,0,0,D,3,1,15,5,1,0,0,0,1509.71225631668,1500.0,4,4
E0,1995-08-23,QPR,Wimbledon,0,3,A,0,3,0,15,-1,1,0,0,1490.28774368332,1510.0,4,4
E0,1995-08-23,Sheffield Weds,Blackburn,2,1,H,0,3,0,15,-1,1,0,0,1490.28774368332,1510.0,4,4
E0,1995-08-23,Tottenham,Aston Villa,0,1,A,1,3,5,15,0,2,0,0,1500.0,1510.0,4,4
E0,1995-08-26,Tottenham,Liverpool,1,3,A,1,3,4,12,-1,0,0,0,1490.28774368332,1500.279706602888,3,5
E0,1995-08-26,QPR,Man City,1,0,H,0,1,0,4,-4,-1,0,0,1480.85450002419,1490.0163256620574,3,3
E0,1995-08-26,Nott'm Forest,West Ham,1,1,D,4,0,17,0,1,-2,1,0,1509.43278790048,1480.295780391727,3,3
E0,1995-08-26,Middlesbrough,Chelsea,2,0,H,1,2,5,9,0,0,0,1,1500.0,1500.2714307720112,6,3
E0,1995-08-26,Coventry,Arsenal,0,0,D,3,4,15,19,-2,2,3,3,1500.56721209952,1509.71225631668,3,3
E0,1995-08-26,Leeds,Aston Villa,2,0,H,6,6,27,27,2,3,3,3,1519.7205382437342,1519.43324365913,5,3
E0,1995-08-26,Everton,Southampton,2,0,H,1,0,4,0,-2,-1,0,0,1490.0,1490.0,3,7
E0,1995-08-26,Bolton,Blackburn,2,1,H,0,3,0,12,-3,0,0,0,1480.85450002419,1499.7368321306994,4,3
E0,1995-08-26,Man United,Wimbledon,3,1,H,3,6,15,27,-1,4,3,3,1500.2794617562658,1519.1630873067425,3,3
E0,1995-08-27,Sheffield Weds,Newcastle,0,2,A,3,6,15,27,0,5,3,3,1500.85450002419,1519.1630873067425,4,5
E0,1995-08-28,Blackburn,Man United,1,2,A,3,6,9,27,-1,1,3,0,1489.4968512954276,1510.8224416266614,2,2
E0,1995-08-29,Arsenal,Nott'm Forest,1,1,D,5,5,20,18,2,1,1,3,1509.4566706631956,1508.596117928506,3,3
E0,1995-08-30,Wimbledon,Sheffield Weds,2,2,D,6,3,21,12,2,-2,3,0,1508.9230703323467,1491.3809762913493,4,3
E0,1995-08-30,West Ham,Tottenham,1,1,D,1,1,5,3,-2,-3,0,1,1481.1085328665386,1480.5752562322457,4,4
E0,1995-08-30,Southampton,Leeds,1,1,D,0,9,0,36,-3,4,0,3,1480.28774368332,1529.7122692427713,4,4
E0,1995-08-30,Newcastle,Middlesbrough,1,0,H,9,4,36,19,7,2,3,1,1528.365153847195,1510.0078124040283,3,4
E0,1995-08-30,Chelsea,Coventry,2,2,D,2,4,7,17,-2,-2,1,0,1490.5515930269262,1500.8303668601168,4,4
E0,1995-08-30,Liverpool,QPR,1,0,H,6,3,24,15,2,-3,3,0,1509.7131742138115,1491.118137457802,4,4
E0,1995-08-30,Aston Villa,Bolton,1,0,H,6,3,21,15,1,-2,3,0,1509.7290115077824,1491.3974427760272,4,4
E0,1995-08-30,Man City,Everton,0,2,A,1,4,3,18,-2,0,1,1,1480.0480382484488,1500.0,4,4
